Number,ChineseName,EnglishName,ShortName,population2010,population2020
1,安徽,Anhui,AH,59500510,61027171
2,北京,Beijing,BJ,19612368,21893095
3,福建,Fujian,FJ,36894216,41540086
4,甘肃,Gansu,GS,25575254,25019831
5,广东,Guangdong,GD,104303132,126012510
6,广西,Guangxi,GX,46026629,50126804
7,贵州,Guizhou,GZ,34746468,38562148
8,海南,Hainan,HI,8671518,10081232
9,河北,Hebei,HE,71854202,74610235
10,河南,Henan,HA,94023567,99365519
11,黑龙江,Heilongjiang,HL,38312224,31850088
12,湖北,Hubei,HB,57237740,57752557
13,湖南,Hunan,HN,65683722,66444864
14,吉林,Jilin,JL,27462297,24073453
15,江苏,Jiangsu,JS,78659903,84748016
16,江西,Jiangxi,JX,44567475,45188635
17,辽宁,Liaoning,LN,43746323,42591407
18,内蒙古自治区,Inner Mongoria,IM（NM）,24706321,24049155
19,宁夏,Ningxia,NX,6301350,7202654
20,青海,Qinghai,QH,5626722,5923957
21,山东,Shandong,SD,95793065,101527453
22,山西,Shanxi,SX,35712111,34915616
23,陕西,Shaanxi,SN,37327378,39528999
24,上海,Shanghai,SH,23019148,24870895
25,四川,Sichuan,SC,80418200,83674866
26,天津,Tianjing,TJ,12938224,13866009
27,西藏,Tibet,XZ,3002166,3648100
28,新疆,Xinjiang,XJ,21813334,25852345
29,云南,Yunnan,YN,45966239,47209277
30,浙江,Zhejiang,ZJ,54426891,64567588
31,重庆,Chongqing,CQ,28846170,32054159
32,澳门,Macao,MO,552300,683218
33,香港,Hong Kong,HK,7097600,7474200
34,台湾,Taiwan,TW,23162123,23561236
